CUL4B	AHDC1	-0.611418411233611	0.611418411233611
NR3C1	MAF	-0.520712411929579	0.520712411929579
SSRP1	MAF	-0.559314200956884	0.559314200956884
ZUFSP	MSX1	-0.536137706432701	0.536137706432701
ZBED3	MTF1	-0.606765439290895	0.606765439290895
PAX6	MYST4	-0.594767282461429	0.594767282461429
NFYB	MYT1L	-0.549313820375393	0.549313820375393
PAX6	MYT1L	-1	1
REPIN1	MYT1L	-0.545646863829855	0.545646863829855
ZNF432	MYT1L	-0.873513205061619	0.873513205061619
ZSCAN21	MYT1L	-0.57042925217835	0.57042925217835
ZNF317	NFYB	-0.527061090196857	0.527061090196857
RC3H1	PAX6	-0.599058850010965	0.599058850010965
SHPRH	PAX6	-0.502516924230414	0.502516924230414
TBX10	PAX6	0.55510494694723	0.55510494694723
ZNF317	PAX6	-0.550342510311265	0.550342510311265
ZNF346	PAX6	-0.612297004982795	0.612297004982795
ZNF382	PAX6	-0.765687868943651	0.765687868943651
ZNF589	PAX6	-0.577958715558448	0.577958715558448
ZNF786	PPP1R13L	-0.55215273488392	0.55215273488392
ZNF384	PRRX1	-0.651097197123413	0.651097197123413
TBX10	RBM22	-0.55304386633334	0.55304386633334
ZNF432	RBM6	-0.502006966530435	0.502006966530435
ZNF346	REPIN1	-0.580359371165876	0.580359371165876
ZFP28	SETBP1	-0.534118162015227	0.534118162015227
ZNF432	SETBP1	-0.608538458333332	0.608538458333332
ZRSR2	SETBP1	-0.520811867323874	0.520811867323874
TBX10	SHPRH	-0.617850046140372	0.617850046140372
XBP1	SHPRH	-0.579788686600901	0.579788686600901
SSRP1	SKI	-0.546843484703981	0.546843484703981
XBP1	SOX5	-0.521407660412852	0.521407660412852
ZNF432	SOX5	-0.517542596531013	0.517542596531013
ZNF432	SOX6	-0.56997356487642	0.56997356487642
UNKL	SSRP1	-0.769797186455935	0.769797186455935
ZNF384	SSRP1	-0.581293597581372	0.581293597581372
ZNF346	TFAP4	-0.534762245428515	0.534762245428515
ZNF264	TRIM3	-0.515325405005702	0.515325405005702
ZNF394	TRIT1	-0.699517487472942	0.699517487472942
ZRSR2	UNKL	-0.642585867711363	0.642585867711363
ZNF382	XBP1	-0.643540927112128	0.643540927112128
ZNF311	ZFP28	-0.506605148134633	0.506605148134633
ZNF281	ZHX3	-0.523026925808476	0.523026925808476
ZNF606	ZNF10	-0.517506060998678	0.517506060998678
ZNF317	ZNF223	-0.597749486765982	0.597749486765982
ZNF432	ZNF317	-0.70147190448169	0.70147190448169
ZNF432	ZNF346	-0.691107648009548	0.691107648009548
ZNF432	ZNF382	-0.603250944946851	0.603250944946851
ZNF432	ZNF384	-0.577382941940145	0.577382941940145
